State,Year,Total Cases
Johor,2014,65
Johor,2015,70
Johor,2016,70
Johor,2017,66
Johor,2018,43
Johor,2019,40
Johor,2020,35
Johor,2021,36
Johor,2022,28
Kedah,2014,25
Kedah,2015,30
Kedah,2016,17
Kedah,2017,21
Kedah,2018,9
Kedah,2019,8
Kedah,2020,16
Kedah,2021,11
Kedah,2022,14
Selangor,2014,110
Selangor,2015,127
Selangor,2016,105
Selangor,2017,83
Selangor,2018,91
Selangor,2019,90
Selangor,2020,80
Selangor,2021,60
Selangor,2022,60
Kelantan,2014,14
Kelantan,2015,13
Kelantan,2016,10
Kelantan,2017,13
Kelantan,2018,9
Kelantan,2019,4
Kelantan,2020,13
Kelantan,2021,8
Kelantan,2022,6
Perak,2014,30
Perak,2015,45
Perak,2016,42
Perak,2017,35
Perak,2018,31
Perak,2019,29
Perak,2020,22
Perak,2021,27
Perak,2022,27
Sarawak,2014,45
Sarawak,2015,35
Sarawak,2016,27
Sarawak,2017,27
Sarawak,2018,28
Sarawak,2019,25
Sarawak,2020,8
Sarawak,2021,25
Sarawak,2022,22
Sabah,2014,50
Sabah,2015,35
Sabah,2016,60
Sabah,2017,36
Sabah,2018,28
Sabah,2019,26
Sabah,2020,24
Sabah,2021,15
Sabah,2022,24
Pahang,2014,24
Pahang,2015,14
Pahang,2016,15
Pahang,2017,16
Pahang,2018,16
Pahang,2019,8
Pahang,2020,8
Pahang,2021,11
Pahang,2022,11
Pulau Pinang,2014,53
Pulau Pinang,2015,37
Pulau Pinang,2016,28
Pulau Pinang,2017,17
Pulau Pinang,2018,15
Pulau Pinang,2019,13
Pulau Pinang,2020,16
Pulau Pinang,2021,13
Pulau Pinang,2022,10
W.P. Kuala Lumpur,2014,42
W.P. Kuala Lumpur,2015,35
W.P. Kuala Lumpur,2016,41
W.P. Kuala Lumpur,2017,37
W.P. Kuala Lumpur,2018,22
W.P. Kuala Lumpur,2019,25
W.P. Kuala Lumpur,2020,11
W.P. Kuala Lumpur,2021,17
W.P. Kuala Lumpur,2022,17
Negeri Sembilan,2014,24
Negeri Sembilan,2015,21
Negeri Sembilan,2016,17
Negeri Sembilan,2017,14
Negeri Sembilan,2018,10
Negeri Sembilan,2019,9
Negeri Sembilan,2020,8
Negeri Sembilan,2021,11
Negeri Sembilan,2022,9
State,Year,Total Cases
Melaka,2014,10
Melaka,2015,9
Melaka,2016,13
Melaka,2017,7
Melaka,2018,5
Melaka,2019,6
Melaka,2020,6
Melaka,2021,4
Melaka,2022,5
Terengganu,2014,10
Terengganu,2015,8
Terengganu,2016,11
Terengganu,2017,5
Terengganu,2018,1
Terengganu,2019,3
Terengganu,2020,3
Terengganu,2021,4
Terengganu,2022,4
Perlis,2014,2
Perlis,2015,1
Perlis,2016,0
Perlis,2017,2
Perlis,2018,1
Perlis,2019,1
Perlis,2020,2
Perlis,2021,2
Perlis,2022,0
