state,date,population
Johor,1970-01-01,1325.6
Johor,1971-01-01,1355.4
Johor,1972-01-01,1385.3
Johor,1973-01-01,1414.5
Johor,1974-01-01,1444.4
Johor,1975-01-01,1477.0
Johor,1976-01-01,1508.4
Johor,1977-01-01,1541.9
Johor,1978-01-01,1573.4
Johor,1979-01-01,1606.4
Johor,1980-01-01,1646.2
Johor,1981-01-01,1689.3
Johor,1982-01-01,1734.6
Johor,1983-01-01,1780.2
Johor,1984-01-01,1825.8
Johor,1985-01-01,1875.5
Johor,1986-01-01,1926.5
Johor,1987-01-01,1977.9
Johor,1988-01-01,2031.0
Johor,1989-01-01,2085.5
Johor,1990-01-01,2139.6
Johor,1991-01-01,2188.1
Johor,1992-01-01,2249.1
Johor,1993-01-01,2313.4
Johor,1994-01-01,2378.1
Johor,1995-01-01,2441.4
Johor,1996-01-01,2503.9
Johor,1997-01-01,2567.5
Johor,1998-01-01,2631.7
Johor,1999-01-01,2699.4
Johor,2000-01-01,2762.5
Johor,2001-01-01,2829.9
Johor,2002-01-01,2893.6
Johor,2003-01-01,2954.0
Johor,2004-01-01,3014.6
Johor,2005-01-01,3074.4
Johor,2006-01-01,3134.4
Johor,2007-01-01,3193.5
Johor,2008-01-01,3252.3
Johor,2009-01-01,3309.4
Johor,2010-01-01,3362.9
Johor,2011-01-01,3410.5
Johor,2012-01-01,3450.4
Johor,2013-01-01,3474.4
Johor,2014-01-01,3559.8
Johor,2015-01-01,3610.3
Johor,2016-01-01,3651.8
Johor,2017-01-01,3697.0
Johor,2018-01-01,3749.4
Johor,2019-01-01,3761.2
Johor,2020-01-01,4009.7
Johor,2021-01-01,4020.0
Johor,2022-01-01,4028.3
Johor,2023-01-01,4107.2
Johor,2024-01-01,4186.3
Kedah,1970-01-01,989.5
Kedah,1971-01-01,1003.9
Kedah,1972-01-01,1017.3
Kedah,1973-01-01,1029.0
Kedah,1974-01-01,1041.1
Kedah,1975-01-01,1054.9
Kedah,1976-01-01,1065.4
Kedah,1977-01-01,1079.8
Kedah,1978-01-01,1090.9
Kedah,1979-01-01,1103.4
Kedah,1980-01-01,1119.9
Kedah,1981-01-01,1140.2
Kedah,1982-01-01,1161.8
Kedah,1983-01-01,1183.9
Kedah,1984-01-01,1206.1
Kedah,1985-01-01,1230.8
Kedah,1986-01-01,1256.2
Kedah,1987-01-01,1281.1
Kedah,1988-01-01,1305.4
Kedah,1989-01-01,1328.8
Kedah,1990-01-01,1352.2
Kedah,1991-01-01,1371.3
Kedah,1992-01-01,1402.1
Kedah,1993-01-01,1434.1
Kedah,1994-01-01,1466.6
Kedah,1995-01-01,1500.2
Kedah,1996-01-01,1533.2
Kedah,1997-01-01,1566.9
Kedah,1998-01-01,1601.2
Kedah,1999-01-01,1636.5
Kedah,2000-01-01,1671.9
Kedah,2001-01-01,1703.9
Kedah,2002-01-01,1734.8
Kedah,2003-01-01,1763.7
Kedah,2004-01-01,1792.4
Kedah,2005-01-01,1820.3
Kedah,2006-01-01,1847.5
Kedah,2007-01-01,1874.2
Kedah,2008-01-01,1900.2
Kedah,2009-01-01,1925.3
Kedah,2010-01-01,1949.3
Kedah,2011-01-01,1971.8
Kedah,2012-01-01,2001.1
Kedah,2013-01-01,2039.8
Kedah,2014-01-01,2062.7
Kedah,2015-01-01,2096.5
Kedah,2016-01-01,2119.7
Kedah,2017-01-01,2143.9
Kedah,2018-01-01,2163.0
Kedah,2019-01-01,2173.7
Kedah,2020-01-01,2131.4
Kedah,2021-01-01,2151.7
Kedah,2022-01-01,2163.1
Kedah,2023-01-01,2189.3
Kedah,2024-01-01,2217.5
Kelantan,1970-01-01,707.3
Kelantan,1971-01-01,723.6
Kelantan,1972-01-01,741.1
Kelantan,1973-01-01,759.5
Kelantan,1974-01-01,776.8
Kelantan,1975-01-01,796.1
Kelantan,1976-01-01,814.1
Kelantan,1977-01-01,834.2
Kelantan,1978-01-01,852.5
Kelantan,1979-01-01,873.7
Kelantan,1980-01-01,895.7
Kelantan,1981-01-01,920.5
Kelantan,1982-01-01,947.1
Kelantan,1983-01-01,974.6
Kelantan,1984-01-01,1002.6
Kelantan,1985-01-01,1032.9
Kelantan,1986-01-01,1062.8
Kelantan,1987-01-01,1093.2
Kelantan,1988-01-01,1124.0
Kelantan,1989-01-01,1154.5
Kelantan,1990-01-01,1187.2
Kelantan,1991-01-01,1227.0
Kelantan,1992-01-01,1243.5
Kelantan,1993-01-01,1259.1
Kelantan,1994-01-01,1273.7
Kelantan,1995-01-01,1287.7
Kelantan,1996-01-01,1301.1
Kelantan,1997-01-01,1314.4
Kelantan,1998-01-01,1328.9
Kelantan,1999-01-01,1344.7
Kelantan,2000-01-01,1361.4
Kelantan,2001-01-01,1390.0
Kelantan,2002-01-01,1416.7
Kelantan,2003-01-01,1440.5
Kelantan,2004-01-01,1463.8
Kelantan,2005-01-01,1486.3
Kelantan,2006-01-01,1507.6
Kelantan,2007-01-01,1529.1
Kelantan,2008-01-01,1549.8
Kelantan,2009-01-01,1570.0
Kelantan,2010-01-01,1589.9
Kelantan,2011-01-01,1618.8
Kelantan,2012-01-01,1651.0
Kelantan,2013-01-01,1683.5
Kelantan,2014-01-01,1723.4
Kelantan,2015-01-01,1760.6
Kelantan,2016-01-01,1796.7
Kelantan,2017-01-01,1829.0
Kelantan,2018-01-01,1860.5
Kelantan,2019-01-01,1883.8
Kelantan,2020-01-01,1792.5
Kelantan,2021-01-01,1812.3
Kelantan,2022-01-01,1830.6
Kelantan,2023-01-01,1859.8
Kelantan,2024-01-01,1888.5
Melaka,1970-01-01,419.4
Melaka,1971-01-01,424.9
Melaka,1972-01-01,429.9
Melaka,1973-01-01,434.2
Melaka,1974-01-01,438.1
Melaka,1975-01-01,443.1
Melaka,1976-01-01,447.3
Melaka,1977-01-01,452.1
Melaka,1978-01-01,456.2
Melaka,1979-01-01,460.8
Melaka,1980-01-01,466.9
Melaka,1981-01-01,472.6
Melaka,1982-01-01,478.7
Melaka,1983-01-01,484.8
Melaka,1984-01-01,491.2
Melaka,1985-01-01,498.6
Melaka,1986-01-01,505.6
Melaka,1987-01-01,513.1
Melaka,1988-01-01,520.5
