Year,Type of Case,Count
2017,Violence,5796
2017,Rape,1698
2017,Incest,253
2017,Molestation,1526
2017,Unnatural,327
2017,Sexual Harassment,338
2017,Pornographic Material,20
2018,Violence,5513
2018,Rape,1582
2018,Incest,296
2018,Molestation,1290
2018,Unnatural,374
2018,Sexual Harassment,267
2018,Pornographic Material,42
2019,Violence,5421
2019,Rape,1327
2019,Incest,266
2019,Molestation,886
2019,Unnatural,292
2019,Sexual Harassment,281
2019,Pornographic Material,33
2020,Violence,5657
2020,Rape,1453
2020,Incest,300
2020,Molestation,1079
2020,Unnatural,304
2020,Sexual Harassment,378
2020,Pornographic Material,74
2021,Violence,5260
2021,Rape,1378
2021,Incest,259
2021,Molestation,841
2021,Unnatural,249
2021,Sexual Harassment,882
2021,Pornographic Material,874
2022,Violence,7468
2022,Rape,1360
2022,Incest,259
2022,Molestation,882
2022,Unnatural,199
2022,Sexual Harassment,506
2022,Pornographic Material,62
